datetime,Q_m3d
2007-10-19,1274.4750228247044
2007-10-20,937.045052532175
2007-10-21,726.3481989993276
2007-10-22,623.034177199381
2007-10-23,604.5089043249077
2007-10-24,549.9456006156825
2007-10-25,465.56935776636186
2007-10-26,447.79409593943825
2007-10-27,451.0566439962783
2007-10-28,404.46220766726486
2007-10-29,379.67434254575363
2007-10-30,363.4366033663067
2007-10-31,354.53022217665557
2007-11-01,324.0047725413907
2007-11-02,316.16715709449835
2007-11-03,304.82324000031133
2007-11-04,304.204480886083
2007-11-05,300.8669317244874
2007-11-06,289.24176048746995
2007-11-07,
2007-11-08,271.91650528907644
2007-11-09,268.20395060370635
2007-11-10,265.50391083252833
2007-11-11,278.7198949756635
2007-11-12,276.75407654577066
2007-11-13,260.46008653775766
2007-11-14,309.90456484745937
2007-11-15,299.1419063151239
2007-11-16,284.1979361926996
2007-11-17,305.40449856216276
2007-11-18,324.00477254139054
2007-11-19,344.63007634900174
2007-11-20,346.07384761553465
2007-11-21,364.63662104238534
2007-11-22,358.9927879095751
2007-11-23,300.4919262007127
2007-11-24,286.879225687689
2007-11-25,303.6928944031229
2007-11-26,304.4107339241591
2007-11-27,336.37995482595784
2007-11-28,328.95484545521686
2007-11-29,315.04214052317343
2007-11-30,285.5292058021002
2007-12-01,
2007-12-02,
2007-12-03,
2007-12-04,
2007-12-05,
2007-12-06,
2007-12-07,
2007-12-08,
2007-12-09,
2007-12-10,
2007-12-11,
2007-12-12,
2007-12-13,
2007-12-14,
2007-12-15,
2007-12-16,
2007-12-17,
2007-12-18,
2007-12-19,
2007-12-20,
2007-12-21,
2007-12-22,
2007-12-23,
2007-12-24,
2007-12-25,
2007-12-26,
2007-12-27,
2007-12-28,
2007-12-29,
2007-12-30,
2007-12-31,
2008-01-01,
2008-01-02,
2008-01-03,
2008-01-04,
2008-01-05,
2008-01-06,
2008-01-07,
2008-01-08,
2008-01-09,
2008-01-10,
2008-01-11,
2008-01-12,
2008-01-13,
2008-01-14,
2008-01-15,
2008-01-16,
2008-01-17,
2008-01-18,
2008-01-19,
2008-01-20,1103.7762584576706
2008-01-21,1043.471620179452
2008-01-22,1133.4166950568278
2008-01-23,1103.3225017739037
2008-01-24,1012.383662258524
2008-01-25,969.3892789577487
2008-01-26,989.1520700606782
2008-01-27,969.7216522746103
2008-01-28,1013.5836799346031
2008-01-29,2120.6246249103656
2008-01-30,2737.7325419559397
2008-01-31,1201.6677003838358
2008-02-01,1149.5231823029555
2008-02-02,1078.328383614316
2008-02-03,1022.6424317897037
2008-02-04,
2008-02-05,
2008-02-06,
2008-02-07,
2008-02-08,
2008-02-09,
2008-02-10,
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,
2008-02-16,
2008-02-17,
2008-02-18,
2008-02-19,
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-23,
2008-02-24,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,
2008-03-01,
2008-03-02,
2008-03-03,
2008-03-04,
2008-03-05,
2008-03-06,
2008-03-07,
2008-03-08,
2008-03-09,
2008-03-10,
2008-03-11,
2008-03-12,
2008-03-13,5814.410946600367
2008-03-14,12845.564213221796
2008-03-15,10188.087568991981
2008-03-16,6833.766165570525
2008-03-17,5404.517107721199
2008-03-18,5752.627592478932
2008-03-19,9706.800874448458
2008-03-20,8109.369449787861
2008-03-21,5693.521364710239
2008-03-22,4369.939368547252
2008-03-23,4031.496883340527
2008-03-24,3792.43086193412
2008-03-25,5382.266779977205
2008-03-26,13152.638180819435
