datetime,Q_m3d
2004-04-08,432.8647473864542
2004-04-09,400.5711452830186
2004-04-10,375.78009720361433
2004-04-11,329.62308005577404
2004-04-12,313.1500810030117
2004-04-13,307.2785169842049
2004-04-14,334.6791490719688
2004-04-15,313.47627900405655
2004-04-16,366.1572561727921
2004-04-17,3159.5538381199663
2004-04-18,506.74859462310167
2004-04-19,335.4946440745803
2004-04-20,17517.158854106998
2004-04-21,4676.863839979869
2004-04-22,834.0882886715618
2004-04-23,557.7985817866135
2004-04-24,813.0485176041725
2004-04-25,3132.153206032205
2004-04-26,655.005586097966
2004-04-27,471.1930125092187
2004-04-28,544.9137607453447
2004-04-29,479.6741605363832
2004-04-30,414.10836232637786
2004-05-01,739.4908683685702
2004-05-02,352.45694012891005
2004-05-03,317.39065501659377
2004-05-04,312.0083879993547
2004-05-05,298.4711709559954
2004-05-06,310.86669499569797
2004-05-07,320.0002390249527
2004-05-08,2163.8344399307043
2004-05-09,5159.147584524612
2004-05-10,7994.134411605001
2004-05-11,1208.5635938709984
2004-05-12,581.6110358628845
2004-05-13,15373.548690241068
2004-05-14,29613.88552485249
2004-05-15,3596.332961518959
2004-05-16,1386.5046034409377
2004-05-17,2364.1200125722144
2004-05-18,10134.971892462048
2004-05-19,1403.6299984957898
2004-05-20,1771.0920466727614
2004-05-21,18083.601682921297
2004-05-22,42051.81530469085
2004-05-23,31458.535220760856
2004-05-24,3777.372852098825
2004-05-25,1990.9494993769597
2004-05-26,1307.2384891870508
2004-05-27,1045.7907913496408
2004-05-28,858.0638417483545
2004-05-29,1498.2274187987823
2004-05-30,12948.592750474
2004-05-31,3495.2115811950703
2004-06-01,3367.994360787596
2004-06-02,1113.8030745674812
2004-06-03,871.4379597911922
2004-06-04,786.6264795195433
2004-06-05,694.3124452238628
2004-06-06,654.5162890963992
2004-06-07,632.9872210274423
2004-06-08,613.0891429637088
2004-06-09,1412.763542525045
2004-06-10,11728.775325566956
2004-06-11,8068.507555843216
2004-06-12,3010.8075496435367
2004-06-13,1294.6798661468247
2004-06-14,20427.008122427163
2004-06-15,2300.185204367433
2004-06-16,6488.567537782708
2004-06-17,5447.506617448219
2004-06-18,1439.6748776112404
2004-06-19,927.8702139719421
2004-06-20,746.0148283894654
2004-06-21,7265.244978270386
2004-06-22,1399.3894244822056
2004-06-23,1110.377995556511
2004-06-24,3423.121822964168
2004-06-25,962.284103082171
2004-06-26,739.49086836857
2004-06-27,969.1342611041117
2004-06-28,2125.506174807941
2004-06-29,628.9097460143817
2004-06-30,535.9433157166119
2004-07-01,522.079900672208
2004-07-02,534.3123257113879
2004-07-03,11305.207221210278
2004-07-04,38626.736293720416
2004-07-05,1456.637173665569
2004-07-06,1007.7887242279205
2004-07-07,8855.134035362755
2004-07-08,892.6408298591047
2004-07-09,722.5285723142399
2004-07-10,548.0126417552696
2004-07-11,4631.685416835166
2004-07-12,1416.3517205365386
2004-07-13,520.2858116664611
2004-07-14,428.2979753718269
2004-07-15,397.96156127466037
2004-07-16,394.3733832631673
2004-07-17,345.7698811074915
2004-07-18,342.3448020965214
2004-07-19,377.4110872088377
2004-07-20,379.20517621458407
2004-07-21,3152.214383096459
2004-07-22,542.3041767369862
2004-07-23,405.62721429921294
2004-07-24,382.7933542260766
2004-07-25,300.59145796278665
2004-07-26,282.8136669058449
2004-07-27,277.5944988891278
2004-07-28,284.28155791054655
2004-07-29,282.1612709037552
2004-07-30,282.81366690584446
2004-07-31,270.4181428661419
2004-08-01,293.2520029392787
2004-08-02,315.27036800980244
2004-08-03,29422.89659524076
2004-08-04,8038.6604387476145
2004-08-05,698.7161182379693
2004-08-06,358.8178011492838
2004-08-07,278.57309289226197
2004-08-08,244.97469878464736
2004-08-09,3005.751480627342
2004-08-10,272.049132871366
2004-08-11,249.37837179875189
2004-08-12,241.06032277210963
2004-08-13,238.12454076270657
2004-08-14,214.31208668643566
2004-08-15,201.10106764412126
2004-08-16,219.36815570263013
2004-08-17,266.8299648546492
2004-08-18,239.10313476584113
2004-08-19,320.1633380254749
2004-08-20,231.27438274076547
